AhAd,2d2h,2c 5d 6d 6c Qc,Aces and Sixes,Deuces Full over Sixes,P1,(null)
AsAc,KhJh,2c 5d 6d 9s Kd,Pair of Aces,Pair of Kings,P0,(null)
AsAd,Kc8c,2c 5d 6d 4c 8d,Pair of Aces,Pair of Eights,P0,(null)
AdAc,KsQs,2c 5d 6d 2h Jd,Aces and Deuces,Pair of Deuces,P0,(null)
AsAh,KhTh,2c 5d 6d 6h 4s,Aces and Sixes,Pair of Sixes,P0,(null)
AhAc,Kc9c,2c 5d 6d 6h Jh,Aces and Sixes,Pair of Sixes,P0,(null)
AcAh,Kh7h,2c 5d 6d 9c 4d,Pair of Aces,King-High,P0,(null)
AdAh,KhTh,2c 5d 6d 4s As,Three Aces,Ace-High,P0,(null)
AcAh,Kh9h,2c 5d 6d Js As,Three Aces,Ace-High,P0,(null)
AhAd,KsQs,2c 5d 6d 2h Ac,Aces Full over Deuces,Pair of Deuces,P0,(null)
AcAh,2h2s,2c 5d 6d 4s As,Three Aces,Three Deuces,P0,(null)
AcAd,Kh8h,2c 5d 6d 3s 9s,Pair of Aces,King-High,P0,(null)
AsAh,KcQc,2c 5d 6d 8s Ac,Three Aces,Ace-High,P0,(null)
AhAd,KcJc,2c 5d 6d Th 9h,Pair of Aces,King-High,P0,(null)
AdAs,Ks8s,2c 5d 6d Ac 7c,Three Aces,Ace-High,P0,(null)
AhAc,Kh7h,2c 5d 6d 5h 9h,Aces and Fives,Pair of Fives,P0,(null)
AdAc,KcQc,2c 5d 6d 7c 7s,Aces and Sevens,Pair of Sevens,P0,(null)
AcAs,KcQc,2c 5d 6d 6h 9h,Aces and Sixes,Pair of Sixes,P0,(null)
AhAs,Kc7c,2c 5d 6d 3c Jc,Pair of Aces,King-High Flush,P1,(null)
AdAs,Kh8h,2c 5d 6d 8s 9s,Pair of Aces,Pair of Eights,P0,(null)
AdAh,KsQs,2c 5d 6d As Kd,Three Aces,Pair of Kings,P0,(null)
AdAc,Kh8h,2c 5d 6d 2h 3s,Aces and Deuces,Pair of Deuces,P0,(null)
AhAs,Kh9h,2c 5d 6d 6s 3h,Aces and Sixes,Pair of Sixes,P0,(null)
AhAc,Kh8h,2c 5d 6d 3s 7s,Pair of Aces,King-High,P0,(null)
AsAh,KdTd,2c 5d 6d 3s 6s,Aces and Sixes,Pair of Sixes,P0,(null)
AhAc,Ks7s,2c 5d 6d 7d Qh,Pair of Aces,Pair of Sevens,P0,(null)
AsAh,Ks7s,2c 5d 6d 9s 8c,Pair of Aces,Nine-High Straight,P1,(null)
