85;85.52;(>T3o,22,74o);22+,A2+,K2+,Q2+,J2+,T2s+,92s+,T3o+,82s+,95o+,72s+,62s+,85o+,52s+,74o+,42s+,64o+,54o,32s
86;86.43;(>T3o,22,84o);22+,A2+,K2+,Q2+,J2+,T2s+,92s+,T3o+,82s+,95o+,72s+,62s+,84o+,52s+,74o+,42s+,64o+,54o,32s
87;87.33;(>T2o,22,84o);22+,A2+,K2+,Q2+,J2+,T2+,92s+,82s+,95o+,72s+,62s+,84o+,52s+,74o+,42s+,64o+,54o,32s
88;88.24;(>94o,22,84o);22+,A2+,K2+,Q2+,J2+,T2+,92s+,82s+,94o+,72s+,62s+,84o+,52s+,74o+,42s+,64o+,54o,32s
89;89.14;(>94o,22,53o);22+,A2+,K2+,Q2+,J2+,T2+,92s+,82s+,94o+,72s+,62s+,84o+,52s+,74o+,42s+,64o+,53o+,32s
90;90.05;(>93o,22,53o);22+,A2+,K2+,Q2+,J2+,T2+,92s+,82s+,93o+,72s+,62s+,84o+,52s+,74o+,42s+,64o+,53o+,32s
91;90.95;(>93o,22,63o);22+,A2+,K2+,Q2+,J2+,T2+,92s+,82s+,93o+,72s+,62s+,84o+,52s+,74o+,42s+,63o+,53o+,32s
92;91.86;(>93o,22,43o);22+,A2+,K2+,Q2+,J2+,T2+,92s+,82s+,93o+,72s+,62s+,84o+,52s+,74o+,42s+,63o+,53o+,32s,43o
93;92.76;(>92o,22,43o);22+,A2+,K2+,Q2+,J2+,T2+,92+,82s+,72s+,62s+,84o+,52s+,74o+,42s+,63o+,53o+,32s,43o
94;93.67;(>84o,22,73o);22+,A2+,K2+,Q2+,J2+,T2+,92+,82s+,72s+,62s+,84o+,52s+,73o+,42s+,63o+,53o+,32s,43o
95;94.57;(>83o,22,73o);22+,A2+,K2+,Q2+,J2+,T2+,92+,82s+,72s+,62s+,83o+,52s+,73o+,42s+,63o+,53o+,32s,43o
96;96.38;(>82o,22,52o);22+,A2+,K2+,Q2+,J2+,T2+,92+,82+,72+,62s+,52s+,42s+,63o+,53o+,32s,43o
97;97.29;(>73o,22,42o);22+,A2+,K2+,Q2+,J2+,T2+,92+,82+,72+,62+,52s+,42s+,53o+,32s,43o
98;98.19;(>73o,22,62o);22+,A2+,K2+,Q2+,J2+,T2+,92+,82+,72+,62+,52+,42s+,32s,43o
99;99.1;(>72o,22,62o);22+,A2+,K2+,Q2+,J2+,T2+,92+,82+,72+,62+,52+,42+,32s
100;100;(All);22+,A2+,K2+,Q2+,J2+,T2+,92+,82+,72+,62+,52+,42+,32
